State,Specialty,Count,state_total,specialty_total,expected,location_quotient
OR,Optometry,496,19079,33182.0,458.6760617055683,1.081373198670199
UT,Family Practice,1105,11191,116485.0,944.4670424972034,1.1699720056703535
IN,General Surgery,469,26170,22083.0,418.70650006665545,1.1201163581777167
IN,Ophthalmology,257,26170,19645.0,372.48060470993283,0.6899688111281319
VA,Sports Medicine,47,32413,1743.0,40.932146914431776,1.148241749895333
NY,Colorectal Surgery (Proctology),140,104092,1641.0,123.75815949782356,1.1312385427197797
NJ,Ophthalmology,578,36308,19645.0,516.7759188310371,1.1184731697782158
SD,Family Practice,445,4029,116485.0,340.0283901546986,1.3087142511763319
SC,Cardiology,248,21448,19359.0,300.8275652209194,0.8243925380238201
WV,Vascular Surgery,23,8487,3467.0,21.318466026001428,1.0788768747220208
AZ,Dermatology,296,29429,14371.0,306.4152685925265,0.9660093028641572
NJ,Gastroenterology,544,36308,14589.0,383.77418578905576,1.4175002387967113
MA,Critical Care (Intensivists),48,39945,2041.0,59.068145789983134,0.8126207342052696
DC,Emergency Medicine,242,5191,54586.0,205.29586765123545,1.1787865131855404
MA,Obstetrics & Gynecology,839,39945,34222.0,990.4116047157289,0.8471225458235745
FL,Plastic and Reconstructive Surgery,299,93928,3815.0,259.61962916379275,1.1516848743796733
OH,Certified Nurse Midwife,177,53444,2911.0,112.71690846176585,1.570305665897848
NJ,Neurology,427,36308,14711.0,386.98348393603396,1.1034062633809472
FL,Hospice and Palliative Care,92,93928,1375.0,93.57195022286109,0.9832006256242692
NJ,"Neuromusculoskeletal Medicine, Sports Medicine",3,36308,49.0,1.2889804032945187,2.3274209540597113
CA,Oral Surgery (Dentist only),764,139057,5806.0,584.9487202151522,1.3060973955443314
SC,Pediatric Medicine,128,21448,8801.0,136.7624051608715,0.9359297231533444
PA,Anesthesiology,284,64171,6162.0,286.48930179853824,0.9913110130713058
GA,General Surgery,761,36843,22083.0,589.4689943429801,1.2909924140254532
CA,Cardiology,1852,139057,19359.0,1950.399978409427,0.9495488210117429
LA,Optometry,369,20543,33182.0,493.8719186339688,0.7471572812251407
LA,Obstetrics & Gynecology,545,20543,34222.0,509.3509975134615,1.0699890697388814
MI,Pulmonary Disease,351,46434,9770.0,328.6840038486283,1.0678949869481602
CA,Orthopedic Surgery,2054,139057,21056.0,2121.3710390716924,0.9682417465729268
OK,Medical Oncology,34,14030,3617.0,36.76665227295121,0.9247510419928385
AR,Obstetrics & Gynecology,262,11827,34222.0,293.2431605701071,0.8934564730875023
CA,Neurological Surgery,43,139057,561.0,56.52019153301764,0.7607900616345312
FL,Interventional Cardiology,413,93928,4708.0,320.39035756307635,1.2890525268654232
DC,Internal Medicine,690,5191,128195.0,482.136514006341,1.4311299392497894
CO,Pain Management,29,23912,2816.0,48.786140301050835,0.5944311195976155
VA,Psychiatry,560,32413,23900.0,561.2612227509578,0.9977528774484435
TX,Oral Surgery (Dentist only),423,92813,5806.0,390.42152188907374,1.0834443704673187
TX,Vascular Surgery,236,92813,3467.0,233.1366545624214,1.012281832914489
KS,Optometry,482,11495,33182.0,276.3499831912316,1.7441651142293013
NM,Urology,37,8297,10997.0,66.1063567574147,0.5597041164403598
AZ,General Surgery,464,29429,22083.0,470.8488188942149,0.9854543143799335
IA,Peripheral Vascular Disease,3,13211,55.0,0.5264368598902214,5.698689108938144
GA,Ophthalmology,498,36843,19645.0,524.3906350526578,0.9496737102293833
NJ,General Surgery,508,36308,22083.0,580.9092703255684,0.874491122710597
AR,Plastic and Reconstructive Surgery,23,11827,3815.0,32.69016006004787,0.7035756312527005
SC,Orthopedic Surgery,339,21448,21056.0,327.19795512638456,1.0360700447197377
NY,Radiation Oncology,296,104092,4884.0,368.3332425273432,0.8036201076204151
NC,Anesthesiology,141,44019,6162.0,196.52136597325668,0.7174792384619786
KY,General Surgery,370,19073,22083.0,305.1581610917585,1.212486006195142
AZ,Gastroenterology,268,29429,14589.0,311.06341615032835,0.8615606531836036
TX,Cardiology,1345,92813,19359.0,1301.7861250862175,1.0331958330796625
ME,General Surgery,115,7200,22083.0,115.1962858418005,0.9982960749093068
TX,Orthopedic Surgery,1548,92813,21056.0,1415.9000284010224,1.0932975273318966
PA,Endocrinology,298,64171,6582.0,306.0163233427424,0.9738042622851723
NM,Nephrology,44,8297,9323.0,56.04342675724081,0.7851054538579799
TN,Geriatric Psychiatry,4,29129,171.0,3.608856337195486,1.108384381714812
GA,Neurology,352,36843,14711.0,392.6857028383634,0.8963911786339969
CA,Pediatric Medicine,896,139057,8801.0,886.6919887381251,1.0104974572682464
CA,Neurosurgery,352,139057,3843.0,387.1784243518481,0.9091415684881249
AZ,Allergy/ Immunology,73,29429,3982.0,84.90331915214254,0.8598014863139521
UT,Psychiatry & Neurology,107,11191,15996.0,129.69648291011947,0.8250030964536773
NY,Physical Medicine and Rehabilitation,821,104092,9040.0,681.7634136869743,1.2042300650309683
UT,Physical Medicine and Rehabilitation,120,11191,9040.0,73.29683705348086,1.6371784216615282
IL,Physical Medicine and Rehabilitation,395,53002,9040.0,347.14314694920853,1.1378591323820475
